zip,Type,total_stores,VegInventory_pct,MeatInventory_pct,PoultryInventory_pct,FishInventory_pct,GrainsInventory_pct,LegumesBeansNutsInventory_pct,EggCheeseInventory_pct,OtherInventory_pct
21201,ConvenienceStores,34,0.759506076,0.28437284,0.122503547,0.083760777,1,1,0.600676634,1
21201,SupermarketsStores,5,1,0.565325397,0.655261905,0.636797619,1,1,0.684857142,1
21202,ConvenienceStores,35,0.746010641,0.28409605,0.11845572,0.08311225,1,1,0.60216032,1
21202,SupermarketsStores,2,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21203,ConvenienceStores,1,0.797619048,0.298730159,0.148571429,0.107619048,1,1,0.587142857,1
21205,ConvenienceStores,34,0.771703631,0.291599475,0.126245434,0.092651566,1,1,0.599648829,1
21205,SupermarketsStores,2,1,0.520892858,0.570813493,0.548601191,1,1,0.668571429,1
21206,ConvenienceStores,23,0.716819556,0.302299202,0.121724272,0.108873354,1,1,0.598099719,1
21206,SupermarketsStores,3,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21207,ConvenienceStores,5,0.756613757,0.316144621,0.153425044,0.134243387,1,1,0.580825397,1
21207,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21209,ConvenienceStores,2,0.644905689,0.243171511,0.052566481,0.017779839,1,0.872854824,0.635667903,1
21209,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21210,ConvenienceStores,2,0.760551948,0.276890332,0.08943723,0.061385282,1,0.963262988,0.623116883,1
21210,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21211,ConvenienceStores,15,0.708038435,0.27357559,0.088133642,0.062064637,1,0.958404797,0.618836666,1
21211,SupermarketsStores,3,1,0.59494709,0.711560847,0.695595238,1,1,0.695714286,1
21212,ConvenienceStores,16,0.741437547,0.291527621,0.136261653,0.099587113,1,1,0.589875284,1
21213,ConvenienceStores,45,0.763974974,0.301974077,0.145812492,0.113638028,1,1,0.586008566,1
21213,SupermarketsStores,2,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21214,ConvenienceStores,14,0.706633266,0.309431062,0.124894687,0.119609997,1,1,0.595328357,1
21214,SupermarketsStores,4,1,0.520892858,0.570813493,0.548601191,1,1,0.668571429,1
21215,ConvenienceStores,61,0.742834136,0.297076433,0.130531245,0.10370616,1,1,0.594243471,1
21215,SupermarketsStores,8,1,0.687514881,0.88749504,0.879337797,1,1,0.729642857,1
21216,ConvenienceStores,38,0.766617347,0.296839423,0.140914673,0.105307027,1,1,0.589355477,1
21216,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21217,ConvenienceStores,60,0.783075083,0.299384648,0.146922315,0.109149408,1,1,0.586926681,1
21217,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21218,ConvenienceStores,54,0.761180558,0.297757931,0.138336265,0.105882763,1,1,0.590659581,1
21218,SupermarketsStores,5,1,0.654190477,0.824158731,0.813190476,1,1,0.717428571,1
21221,ConvenienceStores,1,0.723484848,0.255050505,0.03030303,0.015151515,1,0.857954546,0.659090909,1
21222,ConvenienceStores,2,0.65803872,0.320426487,0.101571268,0.127946128,1,1,0.607323233,1
21223,ConvenienceStores,66,0.773954631,0.302621168,0.146383383,0.113660247,1,1,0.58660067,1
21223,SupermarketsStores,3,1,0.59494709,0.711560847,0.695595238,1,1,0.695714286,1
21224,ConvenienceStores,62,0.764549711,0.292635118,0.127102006,0.09492642,1,1,0.598433579,1
21224,SupermarketsStores,8,1,0.687514881,0.88749504,0.879337797,1,1,0.729642857,1
21225,ConvenienceStores,21,0.767502119,0.300782809,0.133987189,0.107087657,1,1,0.594412835,1
21225,SupermarketsStores,1,0.797619048,0.298730159,0.148571429,0.107619048,1,1,0.587142857,1
21226,ConvenienceStores,7,0.787028448,0.292490208,0.131675943,0.0944094,1,1,0.597421149,1
21227,ConvenienceStores,1,0.723484848,0.255050505,0.03030303,0.015151515,1,0.857954546,0.659090909,1
21227,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21229,ConvenienceStores,22,0.766291158,0.308618217,0.146504876,0.121568936,1,1,0.586105863,1
21229,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21230,ConvenienceStores,37,0.734660681,0.289689622,0.110055089,0.087449082,1,1,0.607153275,1
21230,SupermarketsStores,4,1,0.631974207,0.781934524,0.769092262,1,1,0.709285715,1
21231,ConvenienceStores,25,0.779471244,0.290791095,0.131429561,0.093034509,1,1,0.596780705,1
21231,SupermarketsStores,5,0.937053572,0.387595238,0.317468254,0.284011905,1,1,0.619714286,1
21234,ConvenienceStores,4,0.670005755,0.292718913,0.106635974,0.095979867,1,1,0.603508554,1
21237,ConvenienceStores,1,0.723484848,0.255050505,0.03030303,0.015151515,1,0.857954546,0.659090909,1
21239,ConvenienceStores,4,0.618749141,0.31448699,0.112702994,0.12926029,1,1,0.595611729,1
21239,SupermarketsStores,1,1,0.743055556,0.993055556,0.989583333,1,1,0.75,1
21201,Fastfood,40,1,1,1,1,1,1,1,1
21202,Fastfood,29,1,1,1,1,1,1,1,1
21205,Fastfood,7,1,1,1,1,1,1,1,1
21206,Fastfood,11,1,1,1,1,1,1,1,1
21207,Fastfood,16,1,1,1,1,1,1,1,1
21209,Fastfood,4,1,1,1,1,1,1,1,1
21210,Fastfood,2,1,1,1,1,1,1,1,1
21211,Fastfood,7,1,1,1,1,1,1,1,1
21212,Fastfood,10,1,1,1,1,1,1,1,1
21213,Fastfood,7,1,1,1,1,1,1,1,1
21214,Fastfood,4,1,1,1,1,1,1,1,1
21215,Fastfood,30,1,1,1,1,1,1,1,1
21216,Fastfood,8,1,1,1,1,1,1,1,1
21217,Fastfood,14,1,1,1,1,1,1,1,1
21218,Fastfood,20,1,1,1,1,1,1,1,1
21221,Fastfood,11,1,1,1,1,1,1,1,1
21222,Fastfood,19,1,1,1,1,1,1,1,1
21223,Fastfood,13,1,1,1,1,1,1,1,1
21224,Fastfood,33,1,1,1,1,1,1,1,1
21225,Fastfood,12,1,1,1,1,1,1,1,1
21226,Fastfood,1,1,1,1,1,1,1,1,1
21227,Fastfood,12,1,1,1,1,1,1,1,1
21229,Fastfood,9,1,1,1,1,1,1,1,1
21230,Fastfood,22,1,1,1,1,1,1,1,1
21231,Fastfood,8,1,1,1,1,1,1,1,1
21234,Fastfood,20,1,1,1,1,1,1,1,1
21237,Fastfood,20,1,1,1,1,1,1,1,1
21239,Fastfood,3,1,1,1,1,1,1,1,1
21201,Restaurants,158,1,1,1,1,1,1,1,1
21202,Restaurants,181,1,1,1,1,1,1,1,1
21204,Restaurants,65,1,1,1,1,1,1,1,1
21205,Restaurants,41,1,1,1,1,1,1,1,1
21206,Restaurants,43,1,1,1,1,1,1,1,1
21207,Restaurants,43,1,1,1,1,1,1,1,1
21208,Restaurants,43,1,1,1,1,1,1,1,1
21209,Restaurants,28,1,1,1,1,1,1,1,1
21210,Restaurants,15,1,1,1,1,1,1,1,1
21211,Restaurants,66,1,1,1,1,1,1,1,1
21212,Restaurants,39,1,1,1,1,1,1,1,1
21213,Restaurants,24,1,1,1,1,1,1,1,1
21214,Restaurants,19,1,1,1,1,1,1,1,1
21215,Restaurants,69,1,1,1,1,1,1,1,1
21216,Restaurants,16,1,1,1,1,1,1,1,1
21217,Restaurants,32,1,1,1,1,1,1,1,1
21218,Restaurants,89,1,1,1,1,1,1,1,1
21219,Restaurants,13,1,1,1,1,1,1,1,1
21220,Restaurants,45,1,1,1,1,1,1,1,1
21221,Restaurants,46,1,1,1,1,1,1,1,1
21222,Restaurants,65,1,1,1,1,1,1,1,1
21223,Restaurants,50,1,1,1,1,1,1,1,1
21224,Restaurants,156,1,1,1,1,1,1,1,1
21225,Restaurants,29,1,1,1,1,1,1,1,1
21226,Restaurants,11,1,1,1,1,1,1,1,1
21227,Restaurants,40,1,1,1,1,1,1,1,1
21228,Restaurants,62,1,1,1,1,1,1,1,1
21229,Restaurants,36,1,1,1,1,1,1,1,1
21230,Restaurants,163,1,1,1,1,1,1,1,1
21231,Restaurants,108,1,1,1,1,1,1,1,1
21234,Restaurants,65,1,1,1,1,1,1,1,1
21236,Restaurants,81,1,1,1,1,1,1,1,1
21237,Restaurants,41,1,1,1,1,1,1,1,1
21239,Restaurants,12,1,1,1,1,1,1,1,1
