Date,Day,ConvenienceStores,SupermarketsStores,Restaurants,Fastfood
2/1/2019,1,1,1,1,1
2/2/2019,2,1,1,1,1
2/3/2019,3,1,1,1,1
2/4/2019,4,1,1,1,1
2/5/2019,5,1,1,1,1
2/6/2019,6,1,1,1,1
2/7/2019,7,1,1,1,1
2/8/2019,8,1,1,1,1
2/9/2019,9,1,1,1,1
2/10/2019,10,1,1,1,1
2/11/2019,11,1,1,1,1
2/12/2019,12,1,1,1,1
2/13/2019,13,1,1,1,1
2/14/2019,14,1,1,1,1
2/15/2019,15,1,1,1,1
2/16/2019,16,1,1,1,1
2/17/2019,17,1,1,1,1
2/18/2019,18,1,1,1,1
2/19/2019,19,1,1,1,1
2/20/2019,20,1,1,1,1
2/21/2019,21,1,1,1,1
2/22/2019,22,1,1,1,1
2/23/2019,23,1,1,1,1
2/24/2019,24,1,1,1,1
2/25/2019,25,1,1,1,1
2/26/2019,26,1,1,1,1
2/27/2019,27,1,1,1,1
2/28/2019,28,1,1,1,1
3/1/2019,29,1,1,1,1
3/2/2019,30,1,1,1,1
3/3/2019,31,1,1,1,1
3/4/2019,32,1,1,1,1
3/5/2019,33,1,1,1,1
3/6/2019,34,1,1,1,1
3/7/2019,35,1,1,1,1
3/8/2019,36,1,1,1,1
3/9/2019,37,1,1,1,1
3/10/2019,38,1,1,1,1
3/11/2019,39,1,1,1,1
3/12/2019,40,1,1,1,1
3/13/2019,41,1,1,1,1
3/14/2019,42,1,1,1,1
3/15/2019,43,1,1,1,1
3/16/2019,44,1,1,1,1
3/17/2019,45,1,1,1,1
3/18/2019,46,1,1,1,1
3/19/2019,47,1,1,1,1
3/20/2019,48,1,1,1,1
3/21/2019,49,1,1,1,1
3/22/2019,50,1,1,1,1
3/23/2019,51,1,1,1,1
3/24/2019,52,1,1,1,1
3/25/2019,53,1,1,1,1
3/26/2019,54,1,1,1,1
3/27/2019,55,1,1,1,1
3/28/2019,56,1,1,1,1
3/29/2019,57,1,1,1,1
3/30/2019,58,1,1,1,1
3/31/2019,59,1,1,1,1
4/1/2019,60,1,1,1,1
4/2/2019,61,1,1,1,1
4/3/2019,62,1,1,1,1
4/4/2019,63,1,1,1,1
4/5/2019,64,1,1,1,1
4/6/2019,65,1,1,1,1
4/7/2019,66,1,1,1,1
4/8/2019,67,1,1,1,1
4/9/2019,68,1,1,1,1
4/10/2019,69,1,1,1,1
4/11/2019,70,1,1,1,1
4/12/2019,71,1,1,1,1
4/13/2019,72,1,1,1,1
4/14/2019,73,1,1,1,1
4/15/2019,74,1,1,1,1
4/16/2019,75,1,1,1,1
4/17/2019,76,1,1,1,1
4/18/2019,77,1,1,1,1
4/19/2019,78,1,1,1,1
4/20/2019,79,1,1,1,1
4/21/2019,80,1,1,1,1
4/22/2019,81,1,1,1,1
4/23/2019,82,1,1,1,1
4/24/2019,83,1,1,1,1
4/25/2019,84,1,1,1,1
4/26/2019,85,1,1,1,1
4/27/2019,86,1,1,1,1
4/28/2019,87,1,1,1,1
4/29/2019,88,1,1,1,1
4/30/2019,89,1,1,1,1
5/1/2019,90,1,1,1,1
5/2/2019,91,1,1,1,1
5/3/2019,92,1,1,1,1
5/4/2019,93,1,1,1,1
5/5/2019,94,1,1,1,1
5/6/2019,95,1,1,1,1
5/7/2019,96,1,1,1,1
5/8/2019,97,1,1,1,1
5/9/2019,98,1,1,1,1
5/10/2019,99,1,1,1,1
5/11/2019,100,1,1,1,1
5/12/2019,101,1,1,1,1
5/13/2019,102,1,1,1,1
5/14/2019,103,1,1,1,1
5/15/2019,104,1,1,1,1
5/16/2019,105,1,1,1,1
5/17/2019,106,1,1,1,1
5/18/2019,107,1,1,1,1
5/19/2019,108,1,1,1,1
5/20/2019,109,1,1,1,1
5/21/2019,110,1,1,1,1
5/22/2019,111,1,1,1,1
5/23/2019,112,1,1,1,1
5/24/2019,113,1,1,1,1
5/25/2019,114,1,1,1,1
5/26/2019,115,1,1,1,1
5/27/2019,116,1,1,1,1
5/28/2019,117,1,1,1,1
5/29/2019,118,1,1,1,1
5/30/2019,119,1,1,1,1
5/31/2019,120,1,1,1,1
6/1/2019,121,1,1,1,1
6/2/2019,122,1,1,1,1
6/3/2019,123,1,1,1,1
6/4/2019,124,1,1,1,1
6/5/2019,125,1,1,1,1
6/6/2019,126,1,1,1,1
6/7/2019,127,1,1,1,1
6/8/2019,128,1,1,1,1
6/9/2019,129,1,1,1,1
6/10/2019,130,1,1,1,1
6/11/2019,131,1,1,1,1
6/12/2019,132,1,1,1,1
6/13/2019,133,1,1,1,1
6/14/2019,134,1,1,1,1
6/15/2019,135,1,1,1,1
6/16/2019,136,1,1,1,1
6/17/2019,137,1,1,1,1
6/18/2019,138,1,1,1,1
6/19/2019,139,1,1,1,1
6/20/2019,140,1,1,1,1
6/21/2019,141,1,1,1,1
6/22/2019,142,1,1,1,1
6/23/2019,143,1,1,1,1
6/24/2019,144,1,1,1,1
6/25/2019,145,1,1,1,1
6/26/2019,146,1,1,1,1
6/27/2019,147,1,1,1,1
6/28/2019,148,1,1,1,1
6/29/2019,149,1,1,1,1
6/30/2019,150,1,1,1,1
7/1/2019,151,1,1,1,1
7/2/2019,152,1,1,1,1
7/3/2019,153,1,1,1,1
7/4/2019,154,1,1,1,1
7/5/2019,155,1,1,1,1
7/6/2019,156,1,1,1,1
7/7/2019,157,1,1,1,1
7/8/2019,158,1,1,1,1
7/9/2019,159,1,1,1,1
7/10/2019,160,1,1,1,1
7/11/2019,161,1,1,1,1
7/12/2019,162,1,1,1,1
7/13/2019,163,1,1,1,1
7/14/2019,164,1,1,1,1
7/15/2019,165,1,1,1,1
7/16/2019,166,1,1,1,1
7/17/2019,167,1,1,1,1
7/18/2019,168,1,1,1,1
7/19/2019,169,1,1,1,1
7/20/2019,170,1,1,1,1
7/21/2019,171,1,1,1,1
7/22/2019,172,1,1,1,1
7/23/2019,173,1,1,1,1
7/24/2019,174,1,1,1,1
7/25/2019,175,1,1,1,1
7/26/2019,176,1,1,1,1
7/27/2019,177,1,1,1,1
7/28/2019,178,1,1,1,1
7/29/2019,179,1,1,1,1
7/30/2019,180,1,1,1,1
7/31/2019,181,1,1,1,1
8/1/2019,182,1,1,1,1
8/2/2019,183,1,1,1,1
8/3/2019,184,1,1,1,1
8/4/2019,185,1,1,1,1
8/5/2019,186,1,1,1,1
8/6/2019,187,1,1,1,1
8/7/2019,188,1,1,1,1
8/8/2019,189,1,1,1,1
8/9/2019,190,1,1,1,1
8/10/2019,191,1,1,1,1
8/11/2019,192,1,1,1,1
8/12/2019,193,1,1,1,1
8/13/2019,194,1,1,1,1
8/14/2019,195,1,1,1,1
8/15/2019,196,1,1,1,1
8/16/2019,197,1,1,1,1
8/17/2019,198,1,1,1,1
8/18/2019,199,1,1,1,1
8/19/2019,200,1,1,1,1
8/20/2019,201,1,1,1,1
8/21/2019,202,1,1,1,1
8/22/2019,203,1,1,1,1
8/23/2019,204,1,1,1,1
8/24/2019,205,1,1,1,1
8/25/2019,206,1,1,1,1
8/26/2019,207,1,1,1,1
8/27/2019,208,1,1,1,1
8/28/2019,209,1,1,1,1
8/29/2019,210,1,1,1,1
8/30/2019,211,1,1,1,1
8/31/2019,212,1,1,1,1
9/1/2019,213,1,1,1,1
9/2/2019,214,1,1,1,1
9/3/2019,215,1,1,1,1
9/4/2019,216,1,1,1,1
9/5/2019,217,1,1,1,1
9/6/2019,218,1,1,1,1
9/7/2019,219,1,1,1,1
9/8/2019,220,1,1,1,1
9/9/2019,221,1,1,1,1
9/10/2019,222,1,1,1,1
9/11/2019,223,1,1,1,1
9/12/2019,224,1,1,1,1
9/13/2019,225,1,1,1,1
9/14/2019,226,1,1,1,1
9/15/2019,227,1,1,1,1
9/16/2019,228,1,1,1,1
9/17/2019,229,1,1,1,1
9/18/2019,230,1,1,1,1
9/19/2019,231,1,1,1,1
9/20/2019,232,1,1,1,1
9/21/2019,233,1,1,1,1
9/22/2019,234,1,1,1,1
9/23/2019,235,1,1,1,1
9/24/2019,236,1,1,1,1
9/25/2019,237,1,1,1,1
9/26/2019,238,1,1,1,1
9/27/2019,239,1,1,1,1
9/28/2019,240,1,1,1,1
9/29/2019,241,1,1,1,1
9/30/2019,242,1,1,1,1
10/1/2019,243,1,1,1,1
10/2/2019,244,1,1,1,1
10/3/2019,245,1,1,1,1
10/4/2019,246,1,1,1,1
10/5/2019,247,1,1,1,1
10/6/2019,248,1,1,1,1
10/7/2019,249,1,1,1,1
10/8/2019,250,1,1,1,1
10/9/2019,251,1,1,1,1
10/10/2019,252,1,1,1,1
10/11/2019,253,1,1,1,1
10/12/2019,254,1,1,1,1
10/13/2019,255,1,1,1,1
10/14/2019,256,1,1,1,1
10/15/2019,257,1,1,1,1
10/16/2019,258,1,1,1,1
10/17/2019,259,1,1,1,1
10/18/2019,260,1,1,1,1
10/19/2019,261,1,1,1,1
10/20/2019,262,1,1,1,1
10/21/2019,263,1,1,1,1
10/22/2019,264,1,1,1,1
10/23/2019,265,1,1,1,1
10/24/2019,266,1,1,1,1
10/25/2019,267,1,1,1,1
10/26/2019,268,1,1,1,1
10/27/2019,269,1,1,1,1
10/28/2019,270,1,1,1,1
10/29/2019,271,1,1,1,1
10/30/2019,272,1,1,1,1
10/31/2019,273,1,1,1,1
11/1/2019,274,1,1,1,1
11/2/2019,275,1,1,1,1
11/3/2019,276,1,1,1,1
11/4/2019,277,1,1,1,1
11/5/2019,278,1,1,1,1
11/6/2019,279,1,1,1,1
11/7/2019,280,1,1,1,1
11/8/2019,281,1,1,1,1
11/9/2019,282,1,1,1,1
11/10/2019,283,1,1,1,1
11/11/2019,284,1,1,1,1
11/12/2019,285,1,1,1,1
11/13/2019,286,1,1,1,1
11/14/2019,287,1,1,1,1
11/15/2019,288,1,1,1,1
11/16/2019,289,1,1,1,1
11/17/2019,290,1,1,1,1
11/18/2019,291,1,1,1,1
11/19/2019,292,1,1,1,1
11/20/2019,293,1,1,1,1
11/21/2019,294,1,1,1,1
11/22/2019,295,1,1,1,1
11/23/2019,296,1,1,1,1
11/24/2019,297,1,1,1,1
11/25/2019,298,1,1,1,1
11/26/2019,299,1,1,1,1
11/27/2019,300,1,1,1,1
11/28/2019,301,1,1,1,1
11/29/2019,302,1,1,1,1
11/30/2019,303,1,1,1,1
12/1/2019,304,1,1,1,1
12/2/2019,305,1,1,1,1
12/3/2019,306,1,1,1,1
12/4/2019,307,1,1,1,1
12/5/2019,308,1,1,1,1
12/6/2019,309,1,1,1,1
12/7/2019,310,1,1,1,1
12/8/2019,311,1,1,1,1
12/9/2019,312,1,1,1,1
12/10/2019,313,1,1,1,1
12/11/2019,314,1,1,1,1
12/12/2019,315,1,1,1,1
12/13/2019,316,1,1,1,1
12/14/2019,317,1,1,1,1
12/15/2019,318,1,1,1,1
12/16/2019,319,1,1,1,1
12/17/2019,320,1,1,1,1
12/18/2019,321,1,1,1,1
12/19/2019,322,1,1,1,1
12/20/2019,323,1,1,1,1
12/21/2019,324,1,1,1,1
12/22/2019,325,1,1,1,1
12/23/2019,326,1,1,1,1
12/24/2019,327,1,1,1,1
12/25/2019,328,1,1,1,1
12/26/2019,329,1,1,1,1
12/27/2019,330,1,1,1,1
12/28/2019,331,1,1,1,1
12/29/2019,332,1,1,1,1
12/30/2019,333,1,1,1,1
12/31/2019,334,1,1,1,1
1/1/2020,335,1,1,1,1
1/2/2020,336,1,1,1,1
1/3/2020,337,1,1,1,1
1/4/2020,338,1,1,1,1
1/5/2020,339,1,1,1,1
1/6/2020,340,1,1,1,1
1/7/2020,341,1,1,1,1
1/8/2020,342,1,1,1,1
1/9/2020,343,1,1,1,1
1/10/2020,344,1,1,1,1
1/11/2020,345,1,1,1,1
1/12/2020,346,1,1,1,1
1/13/2020,347,1,1,1,1
1/14/2020,348,1,1,1,1
1/15/2020,349,1,1,1,1
1/16/2020,350,1,1,1,1
1/17/2020,351,1,1,1,1
1/18/2020,352,1,1,1,1
1/19/2020,353,1,1,1,1
1/20/2020,354,1,1,1,1
1/21/2020,355,1,1,1,1
1/22/2020,356,1,1,1,1
1/23/2020,357,1,1,1,1
1/24/2020,358,1,1,1,1
1/25/2020,359,1,1,1,1
1/26/2020,360,1,1,1,1
1/27/2020,361,1,1,1,1
1/28/2020,362,1,1,1,1
1/29/2020,363,1,1,1,1
1/30/2020,364,1,1,1,1
1/31/2020,365,1,1,1,1
2/1/2020,366,1,1,1,1
2/2/2020,367,1,1,1,1
2/3/2020,368,1,1,1,1
2/4/2020,369,1,1,1,1
2/5/2020,370,1,1,1,1
2/6/2020,371,1,1,1,1
2/7/2020,372,1,1,1,1
2/8/2020,373,1,1,1,1
2/9/2020,374,1,1,1,1
2/10/2020,375,1,1,1,1
2/11/2020,376,1,1,1,1
2/12/2020,377,1,1,1,1
2/13/2020,378,1,1,1,1
2/14/2020,379,1,1,1,1
2/15/2020,380,1,1,1,1
2/16/2020,381,1,1,1,1
2/17/2020,382,1,1,1,1
2/18/2020,383,1,1,1,1
2/19/2020,384,1,1,1,1
2/20/2020,385,1,1,1,1
2/21/2020,386,1,1,1,1
2/22/2020,387,1,1,1,1
2/23/2020,388,1,1,1,1
2/24/2020,389,1,1,1,1
2/25/2020,390,1,1,1,1
2/26/2020,391,1,1,1,1
2/27/2020,392,1,1,1,1
2/28/2020,393,1,1,1,1
2/29/2020,394,1,1,1,1
3/1/2020,395,1,1,1,1
3/2/2020,396,1,1,1,1
3/3/2020,397,1,1,1,1
3/4/2020,398,1,1,1,1
3/5/2020,399,1,1,1,1
3/6/2020,400,1,1,1,1
3/7/2020,401,1,1,1,1
3/8/2020,402,1,1,1,1
3/9/2020,403,1,1,1,1
3/10/2020,404,1,1,1,1
3/11/2020,405,1,1,1,1
3/12/2020,406,1,1,1,1
3/13/2020,407,1,1,1,1
3/14/2020,408,1,1,1,1
3/15/2020,409,1,1,1,1
3/16/2020,410,1,1,1,1
3/17/2020,411,1,1,1,1
3/18/2020,412,1,1,1,1
3/19/2020,413,1,1,1,1
3/20/2020,414,1,1,1,1
3/21/2020,415,1,1,1,1
3/22/2020,416,1,1,1,1
3/23/2020,417,1,1,1,1
3/24/2020,418,1,1,1,1
3/25/2020,419,1,1,1,1
3/26/2020,420,1,1,1,1
3/27/2020,421,1,1,1,1
3/28/2020,422,1,1,1,1
3/29/2020,423,1,1,1,1
3/30/2020,424,1,1,1,1
3/31/2020,425,1,1,1,1
4/1/2020,426,1,1,1,1
